[2026-03-21 22:13:30] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:31] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-21 22:13:31] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:31] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:31] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:32] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:32] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:33] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:33] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:33] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:34] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:34] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:35] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:35] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:35] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:36] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:36] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-21 22:13:37] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-21 22:13:37] BLOCKED | User: operator1 | FC:16 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-27 13:39:43] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-27 13:39:58] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-27 13:40:21] ALLOWED | User: operator1 | FC:6 Reg:0 Val:25
[2026-03-27 13:40:38] AUTH_SUCCESS | User: engineer1 | Login successful
[2026-03-27 13:40:49] ALLOWED | User: engineer1 | FC:6 Reg:1 Val:55
[2026-03-27 13:55:25] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-27 13:55:29] TIMEOUT | User: operator1 | Session expired due to inactivity
[2026-03-27 13:55:38] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-27 13:55:50] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-27 13:55:55] TIMEOUT | User: operator1 | Session expired due to inactivity
[2026-03-27 13:56:33] AUTH_SUCCESS | User: engineer1 | Login successful
[2026-03-27 13:56:39] TIMEOUT | User: engineer1 | Session expired due to inactivity
[2026-03-27 13:57:58] AUTH_SUCCESS | User: engineer1 | Login successful
[2026-03-27 13:58:08] TIMEOUT | User: engineer1 | Session expired due to inactivity
[2026-03-27 13:58:44] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-27 13:58:47] TIMEOUT | User: operator1 | Session expired due to inactivity
[2026-03-30 11:26:27] AUTH_FAILED | User: operator | Invalid credentials (attempt 1/3)
[2026-03-30 11:26:37] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:26:50] ALLOWED | User: operator1 | FC:6 Reg:0 Val:25
[2026-03-30 11:27:08] AUTH_SUCCESS | User: engineer1 | Login successful
[2026-03-30 11:27:13] BLOCKED | User: engineer1 | FC:6 Reg:1 Val:79 - Humidity value 79 outside safe range (35-65)
[2026-03-30 11:27:33] AUTH_FAILED | User: 45 | Invalid credentials (attempt 1/3)
[2026-03-30 11:27:42] AUTH_SUCCESS | User: engineer1 | Login successful
[2026-03-30 11:27:45] ALLOWED | User: engineer1 | FC:6 Reg:1 Val:45
[2026-03-30 11:28:38] AUTH_FAILED | User: hacker | Invalid credentials (attempt 1/3)
[2026-03-30 11:28:46] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:28:46] BLOCKED | User: operator1 | FC:6 Reg:0 Val:80 - Temperature value 80 outside safe range (15-30)
[2026-03-30 11:28:55] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:28:55] BLOCKED | User: operator1 | FC:6 Reg:0 Val:5 - Temperature value 5 outside safe range (15-30)
[2026-03-30 11:29:08] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:29:08] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-30 11:29:09] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
