[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:42] AUTH_SUCCESS | User: operator1 | Login successful
